feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,label
10,27,4,6,33,21,40,0
26,21,24,4,32,20,26,0
1,33,18,19,2,47,13,0
9,43,32,23,48,31,47,1
17,2,12,25,25,2,24,0
45,1,25,13,48,43,44,1
21,6,14,23,10,3,1,0
1,8,38,24,43,21,48,1
35,34,48,7,46,40,45,1
8,9,15,16,20,2,34,0
17,24,18,11,18,45,34,0
45,39,24,15,46,17,41,1
45,15,27,4,20,25,38,0
49,28,4,30,27,13,39,1
45,38,15,6,13,37,40,1
43,34,24,4,49,9,47,1
18,20,20,41,46,40,39,1
49,26,16,14,30,29,3,0
19,42,31,25,8,39,24,1
25,29,6,39,14,8,37,0
5,2,14,44,6,5,27,0
5,2,27,32,4,44,12,0
24,46,30,43,5,5,23,1
36,39,46,27,41,6,22,1
8,4,15,35,18,18,11,0
30,28,9,31,14,3,24,0
5,29,44,26,43,9,43,1
18,15,28,29,12,37,11,0
45,38,10,18,16,29,37,1
37,39,9,4,33,21,12,0
35,23,48,11,15,18,45,1
26,41,43,31,40,30,24,1
13,31,40,43,8,41,39,1
46,22,8,32,3,48,32,1
30,18,40,8,33,37,3,0
31,37,38,38,32,4,22,1
34,30,46,44,15,1,49,1
30,38,35,14,22,45,47,1
27,20,44,20,49,13,34,1
5,31,8,14,45,32,7,0
5,25,48,49,16,41,22,1
38,47,40,22,38,25,32,1
19,27,40,16,10,8,29,0
42,25,14,14,42,10,49,1
43,6,15,17,26,39,47,1
23,14,15,23,14,12,39,0
17,13,43,43,10,44,38,1
34,48,35,22,48,20,10,1
40,12,44,10,23,18,21,0
44,19,38,25,7,10,22,0
8,39,29,36,31,49,15,1
32,21,14,36,20,3,47,0
20,28,30,5,45,10,21,0
1,5,19,1,27,45,34,0
22,10,13,37,8,40,31,0
24,1,16,23,21,25,2,0
20,18,12,35,45,46,16,1
42,30,30,25,49,6,24,1
4,34,43,39,49,32,47,1
30,27,49,18,49,43,9,1
25,26,10,39,10,24,24,0
5,42,14,33,24,11,3,0
26,13,17,4,14,3,39,0
21,20,22,18,13,3,9,0
43,8,6,36,6,31,43,0
5,8,18,49,21,13,3,0
26,24,40,37,31,14,7,1
6,18,26,41,14,39,39,1
42,4,9,48,25,19,47,1
46,30,46,35,34,41,48,1
46,45,46,17,10,20,9,1
30,45,44,6,49,46,34,1
21,27,3,42,45,3,18,0
2,3,45,13,24,13,39,0
1,27,32,47,7,20,44,1
14,8,23,1,5,14,12,0
48,26,13,7,30,38,1,0
3,41,43,10,34,40,2,0
44,37,24,4,22,32,4,0
34,37,45,14,7,29,22,1
48,43,39,26,19,49,14,1
21,35,47,5,18,37,8,0
22,38,17,11,8,44,38,1
23,44,34,19,10,7,39,1
49,30,31,42,24,33,30,1
45,36,44,23,33,17,10,1
30,24,15,20,17,12,10,0
27,20,8,26,45,15,22,0
48,39,3,26,37,38,15,1
21,4,11,48,20,35,48,1
2,40,39,25,19,35,28,1
4,34,23,22,43,23,36,1
35,17,18,33,43,15,42,1
45,15,3,33,21,33,19,0
14,16,6,1,29,1,26,0
27,10,28,28,26,38,24,1
45,11,32,30,27,4,20,0
7,49,21,21,10,9,19,0
6,11,46,4,33,12,5,0
28,21,9,15,11,15,20,0
34,36,12,24,19,12,40,1
14,41,24,10,33,39,41,1
14,4,27,22,8,8,39,0
7,32,46,14,29,13,15,0
38,49,9,24,12,19,27,1
38,36,47,27,31,32,39,1
44,43,35,5,21,4,27,1
5,3,42,18,28,5,18,0
20,46,9,36,29,48,23,1
34,9,17,9,30,35,46,1
7,36,4,18,35,16,11,0
40,31,14,19,28,27,24,1
34,42,48,2,38,48,7,1
24,22,6,45,8,31,10,0
47,37,41,32,16,7,4,1
27,5,23,2,24,48,43,0
25,34,32,23,47,12,4,1
44,46,3,1,31,19,20,0
30,17,48,18,21,10,34,1
38,40,4,32,25,41,35,1
26,2,21,29,24,2,47,0
35,48,12,31,23,42,7,1
2,2,20,8,15,20,47,0
34,11,5,29,23,11,37,0
35,46,44,44,13,9,32,1
23,48,19,35,26,45,6,1
35,1,14,3,17,18,24,0
24,43,4,11,16,21,44,0
2,21,13,19,37,37,14,0
41,22,48,24,2,34,46,1
15,48,39,48,41,37,27,1
36,36,19,33,32,19,25,1
18,49,15,19,10,19,22,0
32,17,23,43,47,4,36,1
27,39,8,9,6,43,45,1
15,40,48,29,42,24,32,1
3,27,14,17,49,18,38,0
30,37,32,37,9,46,19,1
22,38,10,15,49,40,21,1
31,18,20,25,34,21,48,1
27,39,20,6,16,43,14,0
24,12,42,30,12,37,5,0
7,16,20,12,48,6,31,0
44,33,15,26,30,19,23,1
36,7,37,33,23,31,9,1
29,47,36,40,29,45,3,1
20,8,6,46,29,37,36,1
13,27,18,31,35,17,33,0
7,37,23,10,5,49,11,0
14,40,42,3,19,4,32,0
31,11,18,19,20,49,32,1
11,28,16,34,30,7,5,0
28,37,18,22,28,2,28,0
27,49,31,44,28,33,38,1
35,45,45,34,19,4,28,1
10,28,41,14,8,35,11,0
46,43,39,2,5,45,22,1
33,31,12,20,35,38,20,1
47,45,7,36,33,31,5,1
24,28,47,25,47,47,47,1
17,15,3,35,38,12,39,0
35,8,26,14,3,44,19,0
35,13,35,13,10,48,8,0
27,15,37,47,35,6,26,1
47,34,10,28,29,19,44,1
25,14,14,5,19,37,42,0
2,47,44,23,10,38,2,0
14,40,5,21,38,49,2,0
48,38,22,47,17,15,2,1
2,24,39,3,7,13,49,0
39,1,2,49,35,1,19,0
32,20,37,26,18,33,4,0
14,15,15,40,9,12,16,0
34,40,40,43,40,21,27,1
3,49,27,45,20,16,12,0
35,47,44,19,2,13,5,0
45,22,43,17,4,42,37,1
43,38,5,33,9,29,41,1
5,43,5,25,44,33,37,1
11,38,8,22,32,22,12,0
4,8,12,35,17,29,35,0
18,46,33,8,6,48,7,0
35,48,4,8,37,40,20,1
39,4,17,5,35,7,1,0
47,24,39,20,25,27,42,1
34,8,25,2,21,30,9,0
21,46,24,42,24,2,18,1
37,49,32,49,26,20,8,1
9,1,49,3,35,40,44,1
15,39,32,7,32,4,5,0
30,37,17,24,11,32,42,1
31,36,32,1,48,8,17,0
48,14,33,20,27,3,30,0
13,29,33,43,42,28,33,1
44,1,28,13,38,19,1,0
32,16,9,30,10,37,46,1
37,46,18,32,26,13,20,1
41,42,36,19,30,44,39,1
40,18,7,8,46,5,29,0
40,1,34,13,10,39,44,1
32,20,4,41,31,18,10,0
24,28,3,36,16,20,44,0
18,22,38,6,49,35,36,1
33,15,14,42,41,16,18,1
34,4,22,21,16,27,34,0
10,17,17,23,9,36,26,0
24,26,5,6,37,9,48,0
8,2,36,24,10,47,15,0
10,20,27,1,23,42,8,0
7,13,8,32,8,46,38,0
16,43,40,9,32,16,31,1
48,24,47,33,47,10,5,1
23,30,29,49,10,2,9,0
27,8,35,42,28,11,24,0
22,30,15,29,26,19,8,0
47,27,14,36,21,12,29,1
47,22,42,23,16,36,40,1
45,32,42,12,9,42,13,1
13,17,8,38,13,7,6,0
37,30,16,14,30,31,45,1
3,29,29,41,38,49,12,1
46,49,44,33,30,33,14,1
9,10,34,27,32,31,48,1
47,23,44,11,20,36,2,1
34,43,20,22,30,5,13,0
24,45,2,28,49,17,30,1
9,18,34,9,47,24,25,0
9,9,31,41,46,7,34,1
24,24,10,27,44,41,24,1
27,12,21,28,24,42,28,1
20,40,21,47,25,6,4,0
45,25,15,47,29,17,22,1
32,33,26,23,20,31,48,1
37,11,42,1,24,15,32,0
2,37,42,13,13,12,12,0
5,32,25,23,29,20,17,0
49,15,18,16,12,38,3,0
23,3,13,23,12,29,29,0
36,4,13,22,47,18,41,1
48,40,24,12,26,32,5,1
48,34,46,15,34,40,20,1
48,48,20,6,21,36,36,1
34,17,29,13,44,26,27,1
26,36,13,13,31,1,35,0
39,26,10,19,4,23,20,0
38,19,23,33,25,11,13,0
11,43,13,34,4,48,48,1
24,45,18,1,40,2,42,0
17,9,1,41,40,38,17,0
16,8,46,32,6,19,23,0
41,26,21,45,35,1,12,1
21,32,21,25,48,12,36,1
20,7,27,19,34,12,44,0
5,18,11,1,39,45,40,0
49,4,21,14,4,43,10,0
33,5,10,1,6,48,13,0
6,45,27,24,36,43,24,1
33,23,21,42,20,18,28,1
15,38,14,8,17,43,1,0
18,16,36,2,14,29,39,0
24,4,28,11,2,47,18,0
15,35,27,44,35,14,35,1
37,46,21,22,30,7,24,1
12,16,38,34,45,15,25,1
17,48,43,17,7,25,16,0
48,31,38,29,14,49,44,1
9,34,27,37,39,30,44,1
32,1,9,48,18,35,46,1
43,26,17,13,12,21,7,0
13,12,15,8,36,26,17,0
27,18,43,13,18,4,18,0
19,18,31,3,35,15,45,0
26,38,48,33,1,31,49,1
24,13,13,29,5,14,26,0
48,42,39,34,13,25,5,1
36,29,22,11,29,6,9,0
27,19,17,24,45,32,35,1
9,38,43,44,18,11,3,0
9,43,34,4,19,24,30,0
3,3,35,37,17,7,40,0
12,13,28,22,5,19,41,0
33,33,24,35,34,23,24,1
7,47,39,21,6,1,8,0
13,16,33,2,45,1,44,0
42,16,11,10,8,9,20,0
15,11,36,4,14,40,5,0
42,29,39,29,17,12,4,0
1,42,14,4,21,21,4,0
42,10,37,8,48,5,29,1
14,29,42,6,37,9,37,0
31,47,43,40,49,8,24,1
16,24,30,47,47,25,35,1
40,39,41,11,8,35,48,1
21,9,23,13,21,40,12,0
19,28,12,46,15,9,38,0
40,46,7,15,11,8,8,0
42,39,38,5,35,22,35,1
26,15,8,21,1,2,6,0
32,19,20,13,4,25,44,0
10,35,8,31,35,18,23,0
41,5,33,31,1,46,27,1
47,16,46,9,6,34,7,0
5,5,46,41,1,37,7,0
2,17,47,37,35,30,7,0
28,43,16,13,3,39,24,0
38,4,45,24,30,31,42,1
6,40,16,37,9,44,10,0
43,26,38,5,25,28,47,1
1,19,1,17,31,22,6,0
11,31,44,35,16,1,44,1
18,39,16,34,11,22,2,0
5,32,44,11,4,38,30,0
9,45,43,44,41,8,4,1
30,14,7,15,39,41,2,0
30,49,20,4,22,47,13,1
5,19,38,20,22,38,38,1
1,45,23,26,41,33,25,1
13,23,37,14,44,4,22,0
46,12,38,47,42,18,23,1
15,21,7,23,23,3,5,0
24,15,1,22,24,39,36,0
43,39,26,21,5,25,15,0
22,36,46,8,1,21,26,0
22,20,11,2,26,29,24,0
15,34,26,42,14,44,30,1
5,5,12,14,27,7,20,0
7,25,46,5,12,18,7,0
49,41,11,39,7,11,20,1
43,30,23,19,2,22,33,0
44,24,20,18,33,28,5,0
45,20,15,10,3,23,5,0
13,5,19,19,15,16,48,0
42,31,31,8,1,31,27,0
6,29,27,47,37,36,45,1
28,7,39,2,26,45,27,0
13,37,47,27,8,25,13,0
7,42,14,15,32,46,24,1
5,35,38,4,29,2,28,0
15,20,25,24,35,21,16,0
14,5,47,45,15,21,30,1
33,44,32,28,38,30,14,1
32,10,7,49,9,49,35,1
23,28,31,27,41,4,23,1
30,30,47,10,5,35,11,0
36,5,35,3,11,11,25,0
19,12,15,6,17,1,18,0
33,33,9,33,13,25,31,1
6,29,20,28,37,18,43,1
31,8,25,27,47,42,24,1
12,48,13,8,1,12,2,0
3,36,34,49,40,6,12,1
36,42,33,47,26,47,5,1
27,23,47,36,39,14,48,1
38,18,43,18,23,44,7,1
14,45,22,28,13,43,31,1
17,29,42,42,28,29,7,1
49,24,22,46,22,25,13,1
41,7,39,19,5,33,16,0
31,47,20,37,43,29,36,1
8,39,16,33,27,28,16,0
40,8,7,5,18,31,45,0
49,47,11,29,5,27,40,1
2,26,24,13,10,36,12,0
23,10,19,20,31,15,40,0
29,34,30,46,1,15,39,1
49,14,38,11,27,25,13,1
49,5,11,19,15,39,1,0
44,10,34,36,10,38,40,1
9,38,47,6,44,1,29,0
15,43,35,42,9,17,34,1
3,37,30,7,43,45,14,1
30,5,14,30,3,48,13,0
7,20,10,29,4,6,8,0
39,23,22,49,43,12,4,1
16,26,49,41,34,36,34,1
27,43,43,27,16,5,27,1
35,40,12,9,6,22,23,0
39,27,44,24,49,20,41,1
42,4,27,36,7,35,15,0
28,22,3,45,34,16,16,0
39,13,3,7,43,45,38,1
16,24,25,37,22,8,39,0
47,24,6,35,8,1,8,0
2,24,29,49,46,47,3,1
26,22,16,6,9,26,4,0
35,42,15,28,25,29,5,1
1,48,37,3,4,34,34,0
17,21,36,31,8,37,41,1
15,3,41,43,8,33,9,0
10,31,34,6,42,13,5,0
18,41,15,45,8,37,21,1
26,34,5,47,6,22,15,0
9,45,48,38,30,2,23,1
10,49,48,39,24,6,49,1
12,45,10,5,20,40,45,1
48,44,2,4,46,32,40,1
40,10,27,12,10,15,45,0
11,43,38,25,10,35,21,1
24,32,10,7,37,31,41,1
4,36,27,34,48,38,16,1
37,37,8,8,23,12,12,0
14,41,18,14,4,42,44,1
23,22,46,40,22,1,21,0
4,24,44,18,5,40,34,0
40,49,49,30,16,33,4,1
27,22,26,12,2,1,1,0
47,13,34,16,25,3,26,0
42,33,41,35,49,48,41,1
41,19,34,2,18,30,48,1
18,9,11,32,28,37,14,0
19,30,3,30,6,22,5,0
11,17,7,31,35,39,34,0
35,8,47,9,24,48,33,1
44,41,46,6,36,8,19,1
8,42,21,7,7,34,30,0
22,16,41,14,36,3,1,0
36,37,14,31,32,8,15,0
1,10,29,7,18,38,29,0
33,20,43,32,48,14,23,1
38,29,27,7,2,28,39,0
8,21,30,30,35,23,49,1
42,16,35,1,18,45,17,0
35,2,47,4,27,12,1,0
44,49,49,43,43,1,43,1
18,17,40,16,49,33,23,1
39,17,20,4,41,36,6,0
19,42,41,25,43,7,47,1
29,41,33,27,37,6,24,1
17,12,12,23,39,8,10,0
11,2,31,12,45,35,16,0
38,5,38,33,7,15,35,0
16,43,44,49,13,43,18,1
36,27,27,32,39,49,42,1
39,23,24,41,31,29,48,1
10,22,6,28,7,25,1,0
31,45,19,34,2,27,4,0
47,32,21,43,24,12,3,1
42,46,18,31,32,6,5,1
32,20,29,47,14,46,28,1
33,19,20,36,16,6,19,0
15,22,25,11,5,28,43,0
5,31,46,4,48,3,46,1
24,21,34,3,28,41,20,0
14,6,45,47,45,28,27,1
21,30,41,23,31,26,16,1
6,16,12,14,49,5,13,0
23,8,35,35,33,6,39,1
47,10,23,29,44,19,17,1
18,43,45,49,35,33,2,1
46,22,43,31,6,24,9,1
40,1,14,20,43,38,14,0
38,25,27,25,7,7,41,0
19,9,35,40,47,1,47,1
5,14,43,15,5,48,25,0
13,28,13,4,48,14,8,0
11,35,3,2,40,49,13,0
30,6,1,30,35,7,30,0
7,8,5,25,27,24,2,0
8,21,6,35,38,18,49,0
1,3,35,35,11,42,26,0
28,28,43,43,15,18,47,1
25,33,45,4,2,4,42,0
3,11,25,16,18,25,14,0
16,3,41,9,11,22,46,0
31,5,19,40,43,15,2,0
37,49,19,8,36,33,8,1
4,6,10,14,25,47,3,0
19,15,31,10,39,3,26,0
34,42,32,44,2,14,22,1
44,12,39,40,2,21,27,1
23,49,20,36,13,40,34,1
12,23,12,48,45,10,37,1
14,32,20,33,41,49,23,1
32,7,22,32,12,41,2,0
7,5,8,27,35,2,20,0
33,49,3,11,22,16,21,0
2,36,15,35,11,34,19,0
37,34,27,6,10,18,46,1
2,37,48,31,34,38,36,1
45,7,1,30,11,2,18,0
25,22,3,37,36,26,22,0
37,24,10,47,33,6,23,1
8,38,36,12,10,11,2,0
44,33,25,2,22,22,34,1
23,42,11,49,9,7,2,0
30,34,39,49,31,35,44,1
46,42,38,26,43,41,13,1
22,40,42,3,15,26,4,0
42,18,29,42,43,48,8,1
37,34,13,49,18,4,5,0
36,14,8,17,7,20,18,0
45,31,5,17,22,20,22,0
21,28,7,42,17,32,39,1
2,11,12,40,48,31,48,1
27,29,1,2,5,45,23,0
13,29,32,6,3,25,33,0
37,13,28,49,13,4,2,0
32,12,14,19,31,34,7,0
8,34,20,13,30,4,34,0
30,4,42,26,36,5,44,1
28,33,36,40,47,39,33,1
33,42,25,15,32,45,34,1
32,16,32,3,24,26,33,0
18,2,10,17,27,43,30,0
39,25,5,5,24,19,40,0
49,20,19,39,12,37,4,1
45,32,15,34,6,18,8,0
8,34,23,3,7,27,14,0
42,27,41,16,9,3,4,0
36,33,21,33,38,31,20,1
33,1,21,49,5,23,32,0
40,11,24,48,8,33,9,0
46,4,44,33,28,46,27,1
3,20,20,44,4,27,8,0
29,12,39,49,46,14,46,1
38,37,48,27,20,15,29,1
15,40,29,43,3,1,46,1
22,32,37,44,39,45,49,1
23,47,23,18,38,47,13,1
1,11,27,37,29,10,1,0
6,12,3,28,27,5,35,0
21,33,13,33,7,21,39,0
27,32,22,15,24,38,44,1
14,13,29,39,10,31,49,1
46,37,22,6,49,38,44,1
37,1,16,26,27,45,34,1
44,10,20,12,13,20,27,0
20,32,48,35,30,14,15,1
11,4,33,34,14,15,5,0
46,47,10,9,3,47,9,0
27,4,26,10,35,37,31,0
12,11,23,37,24,34,28,0
39,28,30,7,31,16,45,1
42,30,19,31,14,15,39,1
27,12,43,12,31,9,43,1
18,24,38,19,10,18,37,0
10,22,44,5,7,42,10,0
6,29,33,10,46,5,36,0
2,18,26,24,16,40,34,0
25,21,32,4,40,11,48,1
27,25,24,22,17,21,37,0
2,49,48,7,36,31,35,1
23,24,5,6,5,24,25,0
5,31,2,24,48,43,36,1
6,33,48,46,9,23,45,1
41,33,9,33,43,42,40,1
2,17,15,24,30,26,5,0
44,28,11,45,49,22,20,1
31,9,30,28,24,13,4,0
32,39,15,38,13,4,34,0
19,39,44,39,11,34,17,1
12,5,8,37,7,27,13,0
5,46,20,36,43,25,27,1
16,7,32,44,40,16,10,0
15,48,10,21,1,23,14,0
28,27,2,30,30,44,10,0
49,13,25,18,13,32,11,0
30,22,39,11,15,26,43,1
17,32,23,10,31,18,10,0
45,6,33,1,29,28,45,1
16,7,36,13,16,23,33,0
33,45,9,34,16,8,48,1
46,22,17,12,43,22,39,1
38,12,20,14,3,24,27,0
33,4,26,28,46,43,8,1
14,29,42,39,38,14,14,1
20,22,7,13,45,17,2,0
20,41,2,48,13,31,12,0
35,2,17,44,48,12,42,1
8,27,17,44,16,3,42,0
42,32,4,1,28,4,34,0
7,29,11,48,39,29,19,1
10,10,24,20,41,36,34,0
49,21,40,4,11,11,39,0
16,40,19,29,7,7,23,0
47,11,12,43,2,2,18,0
29,16,32,37,22,36,17,1
12,20,1,35,27,37,37,0
28,16,21,34,12,47,16,0
18,26,10,24,35,28,42,1
44,48,18,2,17,37,13,1
45,21,32,30,11,34,4,1
48,29,20,34,46,36,17,1
45,5,45,32,9,44,39,1
36,9,47,2,33,1,37,0
21,16,37,27,4,8,29,0
8,34,40,33,12,34,40,1
4,13,41,7,40,36,41,1
46,26,17,32,29,28,32,1
20,34,44,40,39,22,27,1
18,48,24,7,14,17,12,0
46,10,2,38,2,10,48,0
16,15,39,10,42,3,6,0
26,1,8,1,28,10,7,0
40,16,35,5,18,36,49,1
10,26,11,9,49,44,29,1
14,1,48,18,48,38,29,1
23,37,7,47,33,45,36,1
42,5,35,44,17,6,12,0
9,43,24,20,30,22,40,1
35,23,9,48,29,26,36,1
29,10,5,25,28,29,18,0
22,12,43,25,14,29,38,1
22,1,13,32,41,47,35,1
22,47,20,25,4,4,47,0
1,43,27,21,30,15,25,0
5,4,20,9,35,9,12,0
46,47,13,13,26,48,36,1
32,34,41,21,44,1,27,1
41,22,13,25,14,39,8,0
37,25,26,30,47,24,5,1
22,12,44,8,13,1,38,0
38,18,46,40,14,21,13,1
32,23,45,37,46,8,20,1
1,40,36,5,47,38,38,1
35,48,2,8,12,7,27,0
39,39,38,9,10,44,13,1
18,6,15,23,7,21,25,0
16,43,35,7,7,20,39,0
31,31,31,5,30,11,16,0
6,1,12,11,22,4,18,0
30,49,12,24,27,6,23,0
19,4,16,1,12,13,8,0
3,4,2,36,18,42,25,0
24,21,6,48,24,38,32,1
42,3,22,21,46,22,28,1
6,5,3,31,46,20,49,0
45,30,34,8,37,15,19,1
18,37,38,27,6,4,17,0
23,29,43,43,43,34,39,1
49,30,35,42,1,11,4,0
33,47,31,38,13,27,45,1
37,23,13,42,21,13,36,1
19,14,30,4,20,43,2,0
32,28,16,24,1,25,47,0
34,27,30,1,4,48,26,0
37,22,38,32,21,12,35,1
39,48,32,26,6,10,35,1
25,22,20,29,49,28,36,1
39,15,49,12,19,34,37,1
20,17,28,30,35,27,41,1
28,43,2,49,17,21,11,0
41,23,30,32,4,6,25,0
4,46,45,2,36,46,38,1
25,21,13,6,11,27,49,0
46,49,49,16,31,26,32,1
46,30,44,37,42,38,11,1
48,26,38,1,26,7,19,0
48,47,47,41,6,45,48,1
15,9,6,45,7,8,24,0
7,34,23,41,28,2,21,0
23,47,18,7,27,43,46,1
16,20,48,43,42,47,22,1
14,13,6,33,6,40,15,0
11,13,31,24,29,14,25,0
6,11,16,6,14,6,22,0
34,9,10,16,15,18,23,0
10,46,49,15,43,14,24,1
5,31,4,42,38,8,30,0
30,44,18,26,30,32,5,1
3,25,2,5,16,9,45,0
18,15,20,45,20,48,15,1
16,4,25,17,2,49,18,0
41,6,6,17,12,30,32,0
9,11,25,21,37,18,12,0
1,1,24,25,4,44,5,0
6,45,45,37,18,17,10,1
38,26,47,26,34,39,41,1
4,43,24,12,29,15,29,0
23,29,11,49,11,32,36,1
33,16,37,26,35,49,39,1
37,16,2,47,7,41,44,1
5,29,1,5,30,13,22,0
19,21,4,7,8,24,41,0
7,29,7,8,3,19,37,0
2,23,26,35,1,31,13,0
27,25,10,34,47,43,3,1
13,13,32,34,37,31,17,1
13,23,3,47,7,39,11,0
36,28,49,27,45,16,15,1
19,4,37,25,19,36,47,1
10,22,10,9,12,10,3,0
29,19,35,25,5,34,14,0
15,9,21,19,36,9,21,0
9,32,38,10,23,48,29,1
46,33,5,14,20,22,49,1
11,32,23,43,17,30,14,0
39,27,44,39,27,35,17,1
34,9,2,21,45,9,25,0
14,2,17,1,44,35,3,0
7,12,12,13,19,5,32,0
28,20,21,5,11,30,32,0
42,30,11,18,35,1,33,0
44,30,28,38,27,9,15,1
34,14,46,8,37,14,37,1
23,43,41,49,13,20,47,1
34,2,24,17,3,30,29,0
13,24,20,36,1,35,29,0
27,25,46,19,27,5,32,1
43,45,47,2,29,43,21,1
13,32,47,16,46,42,8,1
45,48,39,36,22,3,27,1
7,19,23,38,7,28,32,0
15,26,48,42,15,25,14,1
46,24,31,1,39,16,16,0
48,16,34,10,21,32,33,1
15,16,5,23,30,4,4,0
11,34,12,7,9,17,5,0
10,34,12,23,33,37,42,1
5,13,17,20,8,23,7,0
29,41,20,27,41,47,13,1
28,4,31,22,23,33,25,0
